species,Model,AIC,deltaAIC,w
Hipparchia semele,Oct_preNov_pre,227.67229514989938,2.131054777736466,0.03449511474040443
Hipparchia semele,Nov_preDec_pre,227.67360649689294,2.1323661247300265,0.034472504621138766
Hipparchia semele,Jan,227.82159096181965,2.2803505896567344,0.03201388792554641
Hipparchia semele,JunJulAug,227.9833323495505,2.4420919773875767,0.02952682323609793
Hipparchia semele,Sep,228.24733247602373,2.7060921038608114,0.025875564019971632
Hipparchia semele,Apr,228.26404450538973,2.7228041332268162,0.025660248270701805
Hipparchia semele,AugSep,228.30079732066957,2.7595569485066562,0.025193011305263874
Hipparchia semele,FebMar,228.37806727710608,2.836826904943166,0.02423824236021649
Hipparchia semele,Aug,228.49919435354028,2.957953981377358,0.022813856907784806
Hipparchia semele,JanFeb,228.83858371157913,3.2973433394162157,0.019253125889932634
Hipparchia semele,Oct_pre,228.92103972663062,3.379799354467707,0.018475498038831382
Hipparchia semele,MayJunJul,228.9639017235435,3.422661351380583,0.01808376230599089
Hipparchia semele,JunJul,229.00132021422365,3.460079842060736,0.017748574096824093
Hipparchia semele,FebMarApr,229.12566263168395,3.584422259521034,0.016678725270713544
Hipparchia semele,MarAprMay,229.22003580425414,3.6787954320912206,0.015909992725255392
Hipparchia semele,AprMayJun,229.23000502111128,3.6887646489483643,0.01583088496581547
Hipparchia semele,MarApr,229.3843865628974,3.8431461907344726,0.014654859776085058
Hipparchia semele,AprMay,229.39457566238949,3.8533352902265676,0.014580389720704266
Hipparchia semele,May,229.51389670333919,3.9726563311762675,0.013735956209267198
Hipparchia statilinus,JunJulAug,198.9734555295865,0,0.21147699577929724
Hipparchia statilinus,FebMarApr,200.18627274887336,1.212817219286876,0.11531962442138174
Hipparchia statilinus,FebMar,200.81912590143065,1.8456703718441645,0.08403900528079213
Hipparchia statilinus,MayJun,201.12008495872354,2.1466294291370502,0.07229836472527758
Hipparchia statilinus,MayJunJul,201.26108312990488,2.2876276003183875,0.0673769132198898
Hipparchia statilinus,JulAugSep,201.42276449304998,2.449308963463494,0.06214446429007365
Hipparchia statilinus,JulAug,201.8102257801409,2.836770250554423,0.05119956829607364
Hipparchia statilinus,JunJul,202.06463990571692,3.0911843761304283,0.045083847667046414
