species,site_id,mk_tau,mk_pvalue,sen_slope,sen_stats,sen_pvalue,lm_slope,lm_pvalue,lm_rsquared,transecto,id_transect,abb_elev,abreviatura,altitud
Issoria lathonia,33,-0.20000000298023224,0.8064959049224854,-2,-0.2449489742783178,0.8064959405073402,-1.4999999999999067,0.6852452326776328,0.06241583625099928,Barranco de San Juan,16_33,BSJ (1362),BSJ,1362
Issoria lathonia,36,0.0714285746216774,0.901538610458374,1.3666666666666667,0.12371791482634838,0.9015386266571278,0.01564945226859517,0.9949281822790861,7.31693111464981e-6,Sabinas,16_36,SA (2180),SA,2180
Issoria lathonia,45,-0.20000000298023224,0.8064959049224854,-3.5,-0.2449489742783178,0.8064959405073402,0.7325581395350907,0.8710498490149194,0.010292409186156813,Dúrcal,16_45,DU (1950),DU,1950
Issoria lathonia,48,0.0476190485060215,1,2,0,1,2.1702898550723706,0.47252404757673444,0.10763401417357339,Pitres,16_48,PI (1379),PI,1379
Lampides boeticus,45,0.20000000298023224,0.8064959049224854,7.875,0.2449489742783178,0.8064959405073402,4.965116279069723,0.45289091565323086,0.19788171095416168,Dúrcal,16_45,DU (1950),DU,1950
Lampides boeticus,48,0.1666666716337204,0.6021676063537598,1.9821428571428572,0.5212860351426869,0.6021675277481959,1.2999999999999468,0.611388545328558,0.038817524457676,Pitres,16_48,PI (1379),PI,1379
Lasiommata maera,21,-0.20000000298023224,0.8064959049224854,-2.583333333333333,-0.2449489742783178,0.8064959405073402,-0.660000000000043,0.7509766822717103,0.03875444839858592,Matas Verdes,16_21,MV (1919),MV,1919
Lasiommata megera,14,-0.2380952388048172,0.5480055809020996,-1,-0.6007514091861106,0.5480055723613093,-2.312500000000398,0.7331470539036777,0.02534434241707887,Laguna seca,16_14,LS (2282),LS,2282
Lasiommata megera,16,-0.1666666716337204,0.602167546749115,-1,-0.5212860351426869,0.6021675277481959,-3.0660377358491164,0.5105356661349698,0.06423297917270146,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Lasiommata megera,17,-0.01818181946873665,1,-0.375,-0,1,0.13636363636364635,0.9766334518087277,1.00750479124516e-4,Loma de Papeles Alto,16_17,PA (2400),PA,2400
